"Mountain","Metres","Feet","Range","Location and Notes"
"Potolaka/Putuo Shan","284","932","","Zhejiang, China"
"Westmacott","253","830","","Waterfall, Australia"
"Jerimoth Hill","247","810","","Rhode Island, USA"
"Mount Ngerchelchuus","242","794","","Babeldaob, Palau – Highest point"
"Diamond Head","232","761","","USA (Hawaii)"
"Yeomposan","203","666","","Ulsan, South Korea"
"Hamwolsan","200","656","","Ulsan, South Korea"
"Great Blue Hill","193.5","635","","Massachusetts, USA"
"Alto de Coloane","170","558","","Macau – Highest point"
"Bukit Timah Hill","164","538","","Singapore – Highest point"
"Les Platons","143","469","","Jersey (United Kingdom) – Highest point"
"Britton Hill","105","344","","Florida, USA – The lowest high point of any U.S. state"
"Qurayn Abu al Bawl","103","338","","Qatar – Highest point"
"Command Ridge","71","233","","Nauru – Highest point"
"Mount Tenpō","5","16","","Osaka, Japan"
"Mount Pleasant","5","16","","Texas, USA – Shortest Mountain in Texas"
"Tianzhong Mountain","3.6","12","","Henan Province, China"
"Jing Mountain","0.6","2","","Shandong Province, China"
