"Rank","Article","Class","Views","Image","About"
"1","Once Upon a Time in Hollywood","C-Class article","1,299,670","","Leonardo DiCaprio (pictured) and Brad Pitt star in the latest movie by Quentin Tarantino, again a alternate history period piece, set in 1969 Los Angeles, where the original events (#15) take a bloodier route. Critics liked it, and audiences are also intrigued by Once Upon a Time in Hollywood even if other movies (#6, #7) kept it from the top of the box office."
"2","The Boys (2019 TV series)","Start-Class article","1,141,847","","Karl Urban stars in this comic book adaptation about vigilantes fighting back against mean-spirited superheroes, currently available on Amazon Prime Video."
