"Rank","Player","Position(s)","Team(s) played for (years)","Total points","Games  played","Points  per game","Field goalsmade","Three-pointfield goalsmade","Free  throws made"
"1","Kareem Abdul-Jabbar*","C","Milwaukee Bucks (1969–1975)Los Angeles Lakers (1975–1989)","38,387","1,560","24.6","15,837","1","6,712"
"2","Karl Malone*","PF","Utah Jazz (1985–2003)Los Angeles Lakers (2003–2004)","36,928","1,476","25.0","13,528","85","9,787"
"3","Kobe Bryant §","SG","Los Angeles Lakers (1996–2016)","33,643","1,346","25.0","11,719","1,827","8,378"
"4","LeBron James^","SF/PF","Cleveland Cavaliers (2003–2010, 2014–2018)Miami Heat (2010–2014)Los Angeles Lakers (2018–present)","32,543","1,198","27.2","11,838","1,727","7,140"
"5","Michael Jordan*","SG","Chicago Bulls (1984–1993, 1995–1998)Washington Wizards (2001–2003)","32,292","1,072","30.1","12,192","581","7,327"
"6","Dirk Nowitzki†","PF/C","Dallas Mavericks (1998–2019)","31,560","1,522","20.7","11,169","1,982","7,240"
"7","Wilt Chamberlain*","C","Philadelphia/San Francisco Warriors (1959–1965)Philadelphia 76ers (1965–1968)Los Angeles Lakers (1968–1973)","31,419","1,045","30.1","12,681","0","6,057"
"8","Shaquille O'Neal*","C","Orlando Magic (1992–1996)Los Angeles Lakers (1996–2004)Miami Heat (2004–2008)Phoenix Suns (2008–2009)Cleveland Cavaliers (2009–2010)Boston Celtics (2010–2011)","28,596","1,207","23.7","11,330","1","5,935"
"9","Moses Malone*","C","Buffalo Braves (1976)Houston Rockets (1976–1982)Philadelphia 76ers (1982–1986, 1993–1994)Washington Bullets (1986–1988)Atlanta Hawks (1988–1991)Milwaukee Bucks (1991–1993)San Antonio Spurs (1994–1995)","27,409","1,329","20.6","9,435","8","8,531"
"10","Elvin Hayes*","PF/C","San Diego/Houston Rockets (1968–1972, 1981–1984)Baltimore/Capital/Washington Bullets (1972–1981)","27,313","1,303","21.0","10,976","5","5,356"
"11","Hakeem Olajuwon*","C","Houston Rockets (1984–2001)Toronto Raptors (2001–2002)","26,946","1,238","21.8","10,749","25","5,423"
"12","Oscar Robertson*","PG","Cincinnati Royals (1960–1970)Milwaukee Bucks (1970–1974)","26,710","1,040","25.7","9,508","0","7,694"
"13","Dominique Wilkins*","SF","Atlanta Hawks (1982–1994)Los Angeles Clippers (1994)Boston Celtics (1994–1995)San Antonio Spurs (1996–1997)Orlando Magic (1999)","26,668","1,074","24.8","9,963","711","6,031"
"14","Tim Duncan §","PF/C","San Antonio Spurs (1997–2016)","26,496","1,392","19.0","10,285","30","5,896"
"15","Paul Pierce†","SF/SG","Boston Celtics (1999–2013)Brooklyn Nets (2013–2014)Washington Wizards (2014–2015)Los Angeles Clippers (2015–2017)","26,397","1,343","19.7","8,668","2,143","6,918"
"16","John Havlicek*","SF/SG","Boston Celtics (1962–1978)","26,395","1,270","20.8","10,513","0","5,369"
"17","Kevin Garnett §","PF/C","Minnesota Timberwolves (1995–2007, 2015–2016)Boston Celtics (2007–2013)Brooklyn Nets (2013–2015)","26,071","1,462","17.8","10,505","174","4,887"
